dates,preds,lower,upper,adm_0,adm_1,adm_2
2022-01-02,34.83411389159824,12.8855535733578,46.528975820073775,BR,RJ,3304557
2022-01-09,39.0949465210903,11.391818496266412,45.920316055764395,BR,RJ,3304557
2022-01-16,24.46609483383213,6.515103497390575,29.24782288254193,BR,RJ,3304557
2022-01-23,25.95670996651314,5.757503823922722,30.989696713404904,BR,RJ,3304557
2022-01-30,63.37719638967944,32.07146059226687,83.1423468464617,BR,RJ,3304557
2022-02-06,25.317246508133,10.869058118643501,67.50570317048492,BR,RJ,3304557
2022-02-13,12.47212198668932,12.47212198668932,34.49940895245405,BR,RJ,3304557
2022-02-20,9.874103893188357,8.005384394722533,29.095985913366224,BR,RJ,3304557
2022-02-27,17.62255693805605,13.199849665117767,44.45989790288677,BR,RJ,3304557
2022-03-06,43.02318919761297,28.22458791856751,87.10700772708685,BR,RJ,3304557
2022-03-13,126.67173641487696,100.51305970004051,201.8360107466184,BR,RJ,3304557
2022-03-20,459.3998480386174,279.1124326514053,636.7101724641323,BR,RJ,3304557
2022-03-27,440.5696220701902,138.3997473043376,440.5696220701902,BR,RJ,3304557
2022-04-03,406.18210975299684,158.85945284554026,406.18210975299684,BR,RJ,3304557
2022-04-10,304.92928547805894,99.39369378302553,304.92928547805894,BR,RJ,3304557
2022-04-17,213.0065421998991,213.0065421998991,426.7714674226008,BR,RJ,3304557
2022-04-24,172.18066638844658,172.18066638844658,416.0554157686609,BR,RJ,3304557
2022-05-01,189.66136859742195,185.75580694292236,385.8405914994005,BR,RJ,3304557
2022-05-08,216.26425946790212,116.78765600417587,294.5456102438434,BR,RJ,3304557
2022-05-15,142.58618620928172,95.03316364009675,189.11392753297716,BR,RJ,3304557
2022-05-22,187.30691131083248,172.15029127638854,254.31417294708817,BR,RJ,3304557
2022-05-29,232.17705039750243,232.17705039750243,365.99523549805514,BR,RJ,3304557
2022-06-05,224.32490602108942,224.32490602108942,356.61593605461695,BR,RJ,3304557
2022-06-12,195.81515645666843,195.81515645666843,273.0052078644171,BR,RJ,3304557
2022-06-19,176.12980581887786,176.12980581887786,277.56992504985527,BR,RJ,3304557
2022-06-26,156.43355922973205,130.7033859715496,223.16412470095858,BR,RJ,3304557
2022-07-03,177.81169510430811,108.5819044984229,216.21043604692616,BR,RJ,3304557
2022-07-10,179.13460944204962,88.84325406293021,190.4311940331737,BR,RJ,3304557
2022-07-17,161.28481582809314,107.02774219751433,180.07813611933187,BR,RJ,3304557
2022-07-24,133.97792363476756,91.15573591868937,156.205991466474,BR,RJ,3304557
2022-07-31,77.86303967488428,68.69059913314639,115.5674757105763,BR,RJ,3304557
2022-08-07,70.11975479694775,70.11975479694775,127.0134060944079,BR,RJ,3304557
2022-08-14,69.26167161494531,69.26167161494531,153.70865734638343,BR,RJ,3304557
2022-08-21,54.38692581755999,54.38692581755999,122.64666451989653,BR,RJ,3304557
2022-08-28,75.7411080901847,74.43739659382362,121.77354411452254,BR,RJ,3304557
2022-09-04,93.21852254050266,73.30837606341139,129.4571469186092,BR,RJ,3304557
2022-09-11,85.61190351127246,59.6478758721815,108.12934524730625,BR,RJ,3304557
2022-09-18,93.36158358321758,56.972254837323185,102.4476171657874,BR,RJ,3304557
2022-09-25,95.05373903317188,62.618223796977716,97.43063248933126,BR,RJ,3304557
2022-10-02,77.93532427669074,70.98572698344223,111.49664525196782,BR,RJ,3304557
2022-10-09,87.37607637193636,82.3819192178825,142.49796198601499,BR,RJ,3304557
2022-10-16,78.99927286813794,78.99927286813794,137.568024558019,BR,RJ,3304557
2022-10-23,85.32015036572793,75.71319543166092,127.7112044547324,BR,RJ,3304557
2022-10-30,113.85875041142715,97.43592890751978,156.65615477117177,BR,RJ,3304557
2022-11-06,157.1923668143072,118.02989261348927,185.72374546201,BR,RJ,3304557
2022-11-13,211.58617824014163,156.26678290664415,227.39122264198488,BR,RJ,3304557
2022-11-20,260.83115728018583,172.2737953915281,260.83115728018583,BR,RJ,3304557
2022-11-27,203.41340440682868,155.90565981769828,240.39298198365145,BR,RJ,3304557
2022-12-04,250.65008056727206,183.1924855437097,309.1279014153492,BR,RJ,3304557
2022-12-11,201.6111202059064,137.53017998046397,282.2327664462322,BR,RJ,3304557
2022-12-18,153.45739122986046,103.32421285772591,258.83319384337926,BR,RJ,3304557
2022-12-25,168.4708717630345,105.56637529342757,315.49542836261526,BR,RJ,3304557
2023-01-01,171.82348256716796,93.47018224315865,314.88238022147243,BR,RJ,3304557
2023-01-08,153.60476158407315,73.57698068301883,259.2927284707269,BR,RJ,3304557
2023-01-15,179.93144757589616,92.75243267480373,289.0493302154233,BR,RJ,3304557
2023-01-22,185.39981019355795,142.4584894782421,366.37099557433254,BR,RJ,3304557
2023-01-29,171.55258394647635,141.5271767181099,391.5218304895012,BR,RJ,3304557
2023-02-05,196.03965783179754,144.40528493664624,421.5488961256205,BR,RJ,3304557
2023-02-12,286.8375410852926,202.06548795376398,581.9372195455084,BR,RJ,3304557
2023-02-19,493.7480730445746,300.12493479450626,958.1520168349332,BR,RJ,3304557
2023-02-26,582.9726196349754,307.8450631970342,1062.7458267462982,BR,RJ,3304557
2023-03-05,783.1863082698685,414.8321551172362,1209.5075573286006,BR,RJ,3304557
2023-03-12,993.7772626151874,475.63212946015744,1193.6506141278703,BR,RJ,3304557
2023-03-19,1163.097175970194,672.5904037638741,1268.2277451476627,BR,RJ,3304557
2023-03-26,1787.9292762275154,1299.2070695520367,1994.7257140716329,BR,RJ,3304557
2023-04-02,1799.031422158574,1568.849818361609,2246.3329532252874,BR,RJ,3304557
2023-04-09,1911.6185055795113,1911.6185055795113,2971.9157884658343,BR,RJ,3304557
2023-04-16,2294.4421255034276,2256.8589458506576,3901.2433856685207,BR,RJ,3304557
2023-04-23,1808.5382139613714,1631.0081226329012,3066.469459226679,BR,RJ,3304557
2023-04-30,1123.2693081425762,767.3063706272172,1788.9739564260449,BR,RJ,3304557
2023-05-07,1463.1581419507736,1037.4770966686442,1864.1047215829497,BR,RJ,3304557
2023-05-14,1160.3130539260533,750.9831315210091,1584.338590342081,BR,RJ,3304557
2023-05-21,805.73915667287,634.8965827833996,1208.4416384602016,BR,RJ,3304557
2023-05-28,959.842143392604,795.866104771072,1177.7533075431998,BR,RJ,3304557
2023-06-04,613.9247010716635,613.9247010716635,842.9257467014669,BR,RJ,3304557
2023-06-11,508.0524150201717,508.0524150201717,806.8552800874797,BR,RJ,3304557
2023-06-18,554.517863572442,554.517863572442,864.7683454120247,BR,RJ,3304557
2023-06-25,526.75324647405,526.75324647405,769.7708642706876,BR,RJ,3304557
